ID,Name,Position,Height,Weight,Sponsorship Earnings,Shoe Sponsor,Career Stage,Age
1,Adam,forward,192,218,561000,yes,veteran,29
2,Bill,center,218,251,60000,no,mid-career,35
3,Clay,forward,197,221,1312000,no,rookie,22
4,Dale,forward,192,219,1359000,no,rookie,22
5,Evan,forward,198,223,362000,yes,veteran,29
6,Fred,guard,166,188,1536000,yes,rookie,21
7,Gale,forward,195,221,694000,no,veteran,25
8,Hank,guard,182,199,1678000,yes,rookie,21
9,Iain,guard,189,199,385000,yes,mid-career,27
10,Jake,forward,205,232,1416000,no,rookie,24
11,Kyle,center,206,246,314000,no,mid-career,29
12,Lyle,guard,185,207,1497000,yes,rookie,23
13,Mike,guard,172,183,1383000,yes,rookie,24
14,Nate,guard,169,183,1034000,yes,rookie,24
15,Odad,guard,185,197,178000,yes,mid-career,29
16,Pete,forward,215,232,434000,no,mid-career,30
17,Quin,guard,158,184,162000,yes,veteran,29
18,Rafe,guard,190,207,648000,yes,mid-career,27
19,Stan,center,195,235,481000,no,mid-career,28
20,Trig,guard,192,200,427000,yes,mid-career,32
21,Unit,forward,202,220,542000,no,mid-career,31
22,Vole,forward,184,213,12000,no,mid-career,32
23,Wade,forward,190,215,1179000,no,rookie,22
24,Xand,guard,178,193,1078000,no,rookie,21
25,Yang,guard,185,200,213000,yes,mid-career,31
26,Zeke,forward,191,218,1855000,no,rookie,19
27,Aabe,center,196,235,47000,no,veteran,32
28,Bbeb,forward,198,221,1409000,no,rookie,22
29,CCeb,center,207,247,1065000,no,veteran,27
30,DDeb,center,201,244,1111000,yes,mid-career,25
